Date,Open,High,Low,Close,Volume
2021-10-08,458.4443602081056,461.2249787796117,452.7474687117473,454.1232604980469,260200
2021-10-11,450.78061432546815,458.2311357572289,445.84912996093226,446.4788818359375,186800
2021-10-12,450.3834898316911,451.71085064137225,444.8125541776496,447.3122253417969,243600
2021-10-13,452.766888016537,454.8499275408654,447.32190885879305,451.45892333984375,248700
2021-10-14,458.1343159206421,465.1779345981723,458.1343159206421,465.110107421875,222800
2021-10-15,468.0069858903251,472.55093364291577,465.4007547207681,466.0596008300781,231500
2021-10-18,464.2284381656118,478.07343124227975,463.2111488002108,475.0505981445313,274700
2021-10-19,476.7752130930181,481.72606520575096,475.4963129396287,480.62158203125,172300
2021-10-20,479.5751740767764,486.02777408611337,479.11014100258177,485.3689575195313,212500
2021-10-21,485.5142225110948,501.6554334397621,484.8747725430516,501.3841247558594,265500
2021-10-22,503.2928102829423,509.70670685647127,494.9025231312394,495.0381774902344,316900
2021-10-25,496.66583813481446,509.5516417777122,493.371725807861,506.52880859375,227700
2021-10-26,507.3910895757949,512.991059645812,504.0582147501237,507.0229187011719,182000
2021-10-27,505.2596305338542,515.8298491343146,504.281074136893,508.650634765625,301000
2021-10-28,512.4581625953883,534.3252993493884,504.87198630265647,532.591064453125,432100
2021-10-29,496.4042340198425,510.733686400684,484.48728852568473,509.0963134765625,626700
2021-11-01,510.8790443907711,518.3295681714976,502.5080932637078,512.7974243164062,394500
2021-11-02,512.7876341254797,519.8893226489594,504.8526825498546,519.2886352539062,318300
2021-11-03,522.2146369791799,524.3945682096124,514.2506499351874,522.2727661132812,266200
2021-11-04,525.6540849784062,530.4790397637507,513.029891451514,518.4070434570312,700900
2021-11-05,523.1835461169138,532.2520467240116,518.3392540232387,529.2680053710938,373900
2021-11-08,533.7052813510319,539.3440438842279,527.4367963888495,531.2734375,244900
2021-11-09,532.794512790012,537.3868914378813,523.2125496305375,536.2339477539062,297000
2021-11-10,530.3141578219869,535.1778444289918,516.4013696353263,520.8580932617188,209800
2021-11-11,526.797306708482,538.4914335338384,523.5032239555479,537.3191528320312,193300
2021-11-12,538.6851817245471,545.7481370094888,529.6457177829362,544.2755126953125,248300
2021-11-15,547.4047938442703,547.4047938442703,538.8207257826149,545.4283447265625,197500
2021-11-16,543.8395261182618,558.7405709020336,542.8028406829427,558.0332641601562,222600
2021-11-17,558.2463188354028,558.2463188354028,543.6843540470221,545.9999389648438,244000
2021-11-18,550.7476401059821,551.3483276604471,539.6735942665346,543.481201171875,223400
2021-11-19,543.0354178428639,555.0783202748129,542.3959973383947,552.8209228515625,267900
2021-11-22,554.4872570492522,561.9377792813068,539.9349873593342,540.4872436523438,239500
2021-11-23,546.4650215831363,546.4650215831363,522.446993237689,528.8414916992188,303700
2021-11-24,521.5848111018767,535.701082788681,514.8125014495314,535.3717041015625,269800
2021-11-26,528.5702643996121,539.0145839266735,514.2214771711959,518.3585205078125,195100
2021-11-29,527.8438366401234,548.6645979064424,525.4216902083147,546.7462768554688,294000
2021-11-30,544.8860232949224,544.9731874413209,526.0223182686807,536.2244262695312,397400
2021-12-01,545.8063780841924,555.7371770862588,536.7475753311999,537.9102172851562,303200
2021-12-02,535.555742583011,544.5370174906103,529.9557140487854,537.193115234375,264800
2021-12-03,541.7661815316648,547.2499526698176,517.6416451448811,527.6596069335938,200900
2021-12-06,527.9986997576415,527.9986997576415,481.9391956852267,494.3309020996094,591000
2021-12-07,507.0422914272384,524.8111182263333,506.5965953536474,522.00146484375,392500
2021-12-08,519.0174463596856,527.2527425955055,511.8188356873288,522.224365234375,227000
2021-12-09,520.1122328336704,531.4090949202176,497.28593298891855,499.53369140625,452000
2021-12-10,506.73226654526246,514.163392848822,483.2180576299128,487.7329406738281,505400
2021-12-13,492.38339737055526,497.1210983995077,464.8000043639407,465.0616149902344,695500
2021-12-14,463.1723679427423,467.29971350748366,453.6291083633699,463.0367431640625,514700
2021-12-15,465.4394997266787,475.9903803144856,451.7107948127901,475.1280822753906,525300
2021-12-16,476.2519696311032,479.8851881496702,455.99313962350857,460.6921081542969,432900
2021-12-17,463.3854778660232,475.07960291004457,456.14810625493766,467.9487915039063,736000
2021-12-20,459.5778514579913,468.7529389636623,456.95225425261776,462.6103820800781,398500
2021-12-21,469.6056316627997,472.75442115004273,459.8782860141594,470.332275390625,260300
2021-12-22,469.56690778987263,478.8873207102684,468.4914596090208,477.4533996582031,208000
